model,sensitive_attr,miti_method,accuracy,precision,recall,f1,roc_auc,Equal Opportunity,Equalized Odds,Demographic Parity
LogisticRegression,age_group,Baseline,0.838880902355413,0.4060292039566651,0.8147448015122873,0.5419679346117573,0.8284118497229565,0.06967025089605727,0.06967025089605727,0.059511688029018656
LogisticRegression,age_group,Reweighing,0.8383279884993918,0.4054307116104869,0.8185255198487713,0.5422667501565435,0.8297386522224446,0.06546236559139784,0.06546236559139784,0.05436595270922537
LogisticRegression,age_group,ExponentiatedGradient,0.8405396439234767,0.4090909090909091,0.8166351606805293,0.5451104100946372,0.8301710556063886,0.03912544802867379,0.03912544802867379,0.032345838353897094
LogisticRegression,age_group,ThresholdOptimizer,0.900807254229791,0.6125874125874126,0.41398865784499056,0.494077834179357,0.6896493070064026,0.007562724014336941,0.007562724014336941,0.0010724237363642225
LogisticRegression,age_group,Suppression,0.8404290611522724,0.40924092409240925,0.8204158790170132,0.5460836741113557,0.8317483277364339,0.01974910394265228,0.01974910394265228,0.024120089927790023
RandomForest,age_group,Baseline,0.9054517306203693,0.6890130353817505,0.3497164461247637,0.46394984326018807,0.6644011159866148,0.026007168458781316,0.026007168458781316,0.005392016970875643
RandomForest,age_group,Reweighing,0.9043459029083268,0.6757741347905283,0.3506616257088847,0.46172993154947106,0.6641849142946428,0.03917562724014334,0.03917562724014334,0.006666975925564901
RandomForest,age_group,ExponentiatedGradient,0.9035718235098972,0.6709558823529411,0.3449905482041588,0.4556803995006242,0.6612867581346406,0.036007168458781325,0.036007168458781325,0.006910125840968895
RandomForest,age_group,ThresholdOptimizer,0.8983744332632976,0.5756256800870512,0.5,0.5351542741527567,0.7255792110206637,0.40575627240143364,0.40575627240143364,0.10425205539727242
RandomForest,age_group,Suppression,0.9051199823067566,0.6805054151624549,0.3563327032136106,0.46774193548387094,0.667083070454645,0.02717562724014333,0.02717562724014333,0.0046538081514382115
XGB,age_group,Baseline,0.9078845515868628,0.6614060258249641,0.43572778827977315,0.5253561253561253,0.7030861859370062,0.06394982078853045,0.06394982078853045,0.012656371477090964
XGB,age_group,Reweighing,0.907110472188433,0.6570605187319885,0.43100189035916825,0.5205479452054794,0.7005980021614251,0.05119713261648745,0.05119713261648745,0.010678239995866104
XGB,age_group,ExponentiatedGradient,0.9074422205020458,0.6589928057553956,0.43289224952741023,0.522532800912721,0.7016057991531853,0.035820788530466,0.035820788530466,0.007355076974148306
XGB,age_group,ThresholdOptimizer,0.908437465442884,0.6474358974358975,0.4773156899810964,0.5495103373231773,0.7214380578897343,0.05179211469534045,0.05179211469534045,0.008974086453129276
XGB,age_group,Suppression,0.9087692137564968,0.6666666666666666,0.44045368620037806,0.5304496300512237,0.7056369871202266,0.0539498207885305,0.0539498207885305,0.009992585615781438
