model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,age_band,Baseline,Young,0.2044,0.778,0.1315,4432.0,0.1128
LogisticRegression,age_band,Baseline,Old,0.2639,0.8477,0.1836,4611.0,0.121
LogisticRegression,age_band,Reweighing,Young,0.2085,0.784,0.1353,4432.0,0.1128
LogisticRegression,age_band,Reweighing,Old,0.2628,0.8495,0.1821,4611.0,0.121
LogisticRegression,age_band,ExponentiatedGradient,Young,0.2171,0.796,0.1434,4432.0,0.1128
LogisticRegression,age_band,ExponentiatedGradient,Old,0.2494,0.8351,0.1688,4611.0,0.121
LogisticRegression,age_band,ThresholdOptimizer,Young,0.0785,0.41,0.0364,4432.0,0.1128
LogisticRegression,age_band,ThresholdOptimizer,Old,0.0796,0.4176,0.0331,4611.0,0.121
LogisticRegression,age_band,Suppression,Young,0.2222,0.81,0.1475,4432.0,0.1128
LogisticRegression,age_band,Suppression,Old,0.2464,0.8297,0.166,4611.0,0.121
RandomForest,age_band,Baseline,Young,0.0566,0.336,0.0211,4432.0,0.1128
RandomForest,age_band,Baseline,Old,0.062,0.362,0.0207,4611.0,0.121
RandomForest,age_band,Reweighing,Young,0.0573,0.33,0.0226,4432.0,0.1128
RandomForest,age_band,Reweighing,Old,0.064,0.3692,0.022,4611.0,0.121
RandomForest,age_band,ExponentiatedGradient,Young,0.0566,0.326,0.0224,4432.0,0.1128
RandomForest,age_band,ExponentiatedGradient,Old,0.0635,0.362,0.0225,4611.0,0.121
RandomForest,age_band,ThresholdOptimizer,Young,0.1548,0.714,0.0837,4432.0,0.1128
RandomForest,age_band,ThresholdOptimizer,Old,0.0505,0.3082,0.0151,4611.0,0.121
RandomForest,age_band,Suppression,Young,0.0589,0.342,0.0229,4432.0,0.1128
RandomForest,age_band,Suppression,Old,0.0635,0.3692,0.0215,4611.0,0.121
XGB,age_band,Baseline,Young,0.0706,0.402,0.0285,4432.0,0.1128
XGB,age_band,Baseline,Old,0.0833,0.4659,0.0306,4611.0,0.121
XGB,age_band,Reweighing,Young,0.0713,0.404,0.029,4432.0,0.1128
XGB,age_band,Reweighing,Old,0.082,0.4552,0.0306,4611.0,0.121
XGB,age_band,ExponentiatedGradient,Young,0.0731,0.414,0.0298,4432.0,0.1128
XGB,age_band,ExponentiatedGradient,Old,0.0805,0.4498,0.0296,4611.0,0.121
XGB,age_band,ThresholdOptimizer,Young,0.0817,0.45,0.0348,4432.0,0.1128
XGB,age_band,ThresholdOptimizer,Old,0.0907,0.5018,0.034,4611.0,0.121
XGB,age_band,Suppression,Young,0.0722,0.412,0.029,4432.0,0.1128
XGB,age_band,Suppression,Old,0.0822,0.4659,0.0294,4611.0,0.121
