model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,gender,Baseline,M,0.4654,0.6692,0.2833,6519.0,0.472
LogisticRegression,gender,Reweighing,M,0.4645,0.6692,0.2815,6519.0,0.472
LogisticRegression,gender,Suppression,M,0.4637,0.6662,0.2827,6519.0,0.472
RandomForest,gender,Baseline,M,0.4752,0.6854,0.2873,6519.0,0.472
RandomForest,gender,Reweighing,M,0.4728,0.6812,0.2865,6519.0,0.472
RandomForest,gender,Suppression,M,0.4737,0.6805,0.2888,6519.0,0.472
XGB,gender,Baseline,M,0.5136,0.7416,0.3097,6519.0,0.472
XGB,gender,Reweighing,M,0.5136,0.7416,0.3097,6519.0,0.472
XGB,gender,Suppression,M,0.5114,0.7358,0.3109,6519.0,0.472
LogisticRegression,region,Baseline,South_East_Region,0.5457,0.7414,0.3364,449.0,0.5167
LogisticRegression,region,Baseline,East_Midlands_Region,0.477,0.6852,0.2982,1128.0,0.4619
LogisticRegression,region,Baseline,North_Western_Region,0.3305,0.5256,0.1988,581.0,0.4028
LogisticRegression,region,Baseline,London_Region,0.3833,0.5647,0.2362,621.0,0.4477
LogisticRegression,region,Baseline,South_Region,0.577,0.7362,0.3944,610.0,0.5344
LogisticRegression,region,Baseline,Ireland,0.6009,0.7045,0.4505,223.0,0.5919
LogisticRegression,region,Baseline,North_Region,0.5025,0.7121,0.2908,394.0,0.5025
LogisticRegression,region,Baseline,West_Midlands_Region,0.3561,0.6108,0.1803,497.0,0.4085
LogisticRegression,region,Baseline,Yorkshire_Region,0.4374,0.6515,0.2489,423.0,0.4681
LogisticRegression,region,Baseline,Scotland,0.5007,0.6795,0.3246,679.0,0.4963
LogisticRegression,region,Baseline,South_West_Region,0.5192,0.7572,0.2897,495.0,0.4909
LogisticRegression,region,Baseline,Wales,0.4248,0.6286,0.2787,419.0,0.4177
LogisticRegression,region,Reweighing,South_East_Region,0.5345,0.7241,0.3318,449.0,0.5167
LogisticRegression,region,Reweighing,East_Midlands_Region,0.4725,0.6775,0.2965,1128.0,0.4619
LogisticRegression,region,Reweighing,North_Western_Region,0.3305,0.5342,0.1931,581.0,0.4028
LogisticRegression,region,Reweighing,London_Region,0.3833,0.554,0.2449,621.0,0.4477
LogisticRegression,region,Reweighing,South_Region,0.5852,0.7454,0.4014,610.0,0.5344
LogisticRegression,region,Reweighing,Ireland,0.6233,0.7273,0.4725,223.0,0.5919
LogisticRegression,region,Reweighing,North_Region,0.4898,0.6869,0.2908,394.0,0.5025
LogisticRegression,region,Reweighing,West_Midlands_Region,0.3642,0.6207,0.1871,497.0,0.4085
LogisticRegression,region,Reweighing,Yorkshire_Region,0.4255,0.6364,0.24,423.0,0.4681
LogisticRegression,region,Reweighing,Scotland,0.5052,0.6825,0.3304,679.0,0.4963
LogisticRegression,region,Reweighing,South_West_Region,0.5192,0.7613,0.2857,495.0,0.4909
LogisticRegression,region,Reweighing,Wales,0.4344,0.64,0.2869,419.0,0.4177
LogisticRegression,region,Suppression,South_East_Region,0.4967,0.681,0.2995,449.0,0.5167
LogisticRegression,region,Suppression,East_Midlands_Region,0.4699,0.6814,0.2883,1128.0,0.4619
LogisticRegression,region,Suppression,North_Western_Region,0.4062,0.6325,0.2536,581.0,0.4028
LogisticRegression,region,Suppression,London_Region,0.4187,0.6115,0.2624,621.0,0.4477
LogisticRegression,region,Suppression,South_Region,0.5279,0.684,0.3486,610.0,0.5344
LogisticRegression,region,Suppression,Ireland,0.5067,0.6288,0.3297,223.0,0.5919
LogisticRegression,region,Suppression,North_Region,0.4264,0.6414,0.2092,394.0,0.5025
LogisticRegression,region,Suppression,West_Midlands_Region,0.3742,0.6355,0.1939,497.0,0.4085
LogisticRegression,region,Suppression,Yorkshire_Region,0.4681,0.6818,0.28,423.0,0.4681
LogisticRegression,region,Suppression,Scotland,0.5331,0.7181,0.3509,679.0,0.4963
LogisticRegression,region,Suppression,South_West_Region,0.4687,0.7078,0.2381,495.0,0.4909
LogisticRegression,region,Suppression,Wales,0.4558,0.6686,0.3033,419.0,0.4177
RandomForest,region,Baseline,South_East_Region,0.5367,0.7198,0.341,449.0,0.5167
RandomForest,region,Baseline,East_Midlands_Region,0.469,0.6929,0.2768,1128.0,0.4619
RandomForest,region,Baseline,North_Western_Region,0.3941,0.6197,0.2421,581.0,0.4028
RandomForest,region,Baseline,London_Region,0.4106,0.6223,0.2391,621.0,0.4477
RandomForest,region,Baseline,South_Region,0.5525,0.7331,0.3451,610.0,0.5344
RandomForest,region,Baseline,Ireland,0.6233,0.7576,0.4286,223.0,0.5919
RandomForest,region,Baseline,North_Region,0.4975,0.7121,0.2806,394.0,0.5025
RandomForest,region,Baseline,West_Midlands_Region,0.3984,0.6207,0.2449,497.0,0.4085
RandomForest,region,Baseline,Yorkshire_Region,0.4515,0.6768,0.2533,423.0,0.4681
RandomForest,region,Baseline,Scotland,0.511,0.7062,0.3187,679.0,0.4963
RandomForest,region,Baseline,South_West_Region,0.5051,0.7284,0.2897,495.0,0.4909
RandomForest,region,Baseline,Wales,0.4439,0.6171,0.3197,419.0,0.4177
RandomForest,region,Reweighing,South_East_Region,0.5323,0.7198,0.3318,449.0,0.5167
RandomForest,region,Reweighing,East_Midlands_Region,0.4637,0.6814,0.2768,1128.0,0.4619
RandomForest,region,Reweighing,North_Western_Region,0.3941,0.6154,0.245,581.0,0.4028
RandomForest,region,Reweighing,London_Region,0.4155,0.6295,0.242,621.0,0.4477
RandomForest,region,Reweighing,South_Region,0.5508,0.7331,0.3415,610.0,0.5344
RandomForest,region,Reweighing,Ireland,0.6278,0.7727,0.4176,223.0,0.5919
RandomForest,region,Reweighing,North_Region,0.5,0.7172,0.2806,394.0,0.5025
RandomForest,region,Reweighing,West_Midlands_Region,0.4326,0.6502,0.2823,497.0,0.4085
RandomForest,region,Reweighing,Yorkshire_Region,0.4444,0.6717,0.2444,423.0,0.4681
