model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,gender,Baseline,F,0.5054,0.6807,0.3382,2964.0,0.4882
LogisticRegression,gender,Baseline,M,0.4321,0.6589,0.24,3555.0,0.4585
LogisticRegression,gender,Reweighing,F,0.5061,0.6828,0.3375,2964.0,0.4882
LogisticRegression,gender,Reweighing,M,0.4304,0.6583,0.2374,3555.0,0.4585
LogisticRegression,gender,ExponentiatedGradient,F,0.4713,0.6496,0.3013,2964.0,0.4882
LogisticRegression,gender,ExponentiatedGradient,M,0.4515,0.684,0.2545,3555.0,0.4585
LogisticRegression,gender,ThresholdOptimizer,F,0.4507,0.6303,0.2795,2964.0,0.4882
LogisticRegression,gender,ThresholdOptimizer,M,0.4515,0.6847,0.254,3555.0,0.4585
LogisticRegression,gender,Suppression,F,0.5047,0.6773,0.3401,2964.0,0.4882
LogisticRegression,gender,Suppression,M,0.4295,0.6564,0.2374,3555.0,0.4585
RandomForest,gender,Baseline,F,0.4976,0.6849,0.3191,2964.0,0.4882
RandomForest,gender,Baseline,M,0.4565,0.6859,0.2623,3555.0,0.4585
RandomForest,gender,Reweighing,F,0.5017,0.689,0.323,2964.0,0.4882
RandomForest,gender,Reweighing,M,0.4534,0.6828,0.2592,3555.0,0.4585
RandomForest,gender,ExponentiatedGradient,F,0.5,0.6897,0.3191,2964.0,0.4882
RandomForest,gender,ExponentiatedGradient,M,0.4481,0.6779,0.2535,3555.0,0.4585
RandomForest,gender,ThresholdOptimizer,F,0.393,0.557,0.2367,2964.0,0.4882
RandomForest,gender,ThresholdOptimizer,M,0.5589,0.7975,0.3569,3555.0,0.4585
RandomForest,gender,Suppression,F,0.4966,0.6835,0.3184,2964.0,0.4882
RandomForest,gender,Suppression,M,0.4546,0.6779,0.2655,3555.0,0.4585
XGB,gender,Baseline,F,0.5557,0.7657,0.3553,2964.0,0.4882
XGB,gender,Baseline,M,0.4785,0.7202,0.2738,3555.0,0.4585
XGB,gender,Reweighing,F,0.5543,0.763,0.3553,2964.0,0.4882
XGB,gender,Reweighing,M,0.4765,0.7196,0.2706,3555.0,0.4585
XGB,gender,ExponentiatedGradient,F,0.5142,0.7222,0.3158,2964.0,0.4882
XGB,gender,ExponentiatedGradient,M,0.5111,0.754,0.3055,3555.0,0.4585
XGB,gender,ThresholdOptimizer,F,0.4922,0.7021,0.292,2964.0,0.4882
XGB,gender,ThresholdOptimizer,M,0.4785,0.7215,0.2727,3555.0,0.4585
XGB,gender,Suppression,F,0.554,0.7602,0.3573,2964.0,0.4882
XGB,gender,Suppression,M,0.4759,0.7141,0.2743,3555.0,0.4585
LogisticRegression,region,Baseline,South_East_Region,0.5457,0.7414,0.3364,449.0,0.5167
LogisticRegression,region,Baseline,Other,0.5015,0.7157,0.3121,652.0,0.4693
LogisticRegression,region,Baseline,North_Western_Region,0.3305,0.5256,0.1988,581.0,0.4028
LogisticRegression,region,Baseline,London_Region,0.3833,0.5647,0.2362,621.0,0.4477
LogisticRegression,region,Baseline,South_Region,0.577,0.7362,0.3944,610.0,0.5344
LogisticRegression,region,Baseline,Ireland,0.6009,0.7045,0.4505,223.0,0.5919
LogisticRegression,region,Baseline,North_Region,0.5025,0.7121,0.2908,394.0,0.5025
LogisticRegression,region,Baseline,East_Midlands_Region,0.4433,0.6419,0.2797,476.0,0.4517
LogisticRegression,region,Baseline,West_Midlands_Region,0.3561,0.6108,0.1803,497.0,0.4085
LogisticRegression,region,Baseline,Yorkshire_Region,0.4374,0.6515,0.2489,423.0,0.4681
LogisticRegression,region,Baseline,Scotland,0.5007,0.6795,0.3246,679.0,0.4963
LogisticRegression,region,Baseline,South_West_Region,0.5192,0.7572,0.2897,495.0,0.4909
LogisticRegression,region,Baseline,Wales,0.4248,0.6286,0.2787,419.0,0.4177
LogisticRegression,region,Reweighing,South_East_Region,0.5412,0.7328,0.3364,449.0,0.5167
LogisticRegression,region,Reweighing,Other,0.4923,0.6993,0.3092,652.0,0.4693
LogisticRegression,region,Reweighing,North_Western_Region,0.327,0.5342,0.1873,581.0,0.4028
LogisticRegression,region,Reweighing,London_Region,0.3865,0.5612,0.2449,621.0,0.4477
LogisticRegression,region,Reweighing,South_Region,0.5803,0.7362,0.4014,610.0,0.5344
LogisticRegression,region,Reweighing,Ireland,0.6233,0.7197,0.4835,223.0,0.5919
LogisticRegression,region,Reweighing,North_Region,0.4975,0.6919,0.301,394.0,0.5025
LogisticRegression,region,Reweighing,East_Midlands_Region,0.4433,0.6372,0.2835,476.0,0.4517
LogisticRegression,region,Reweighing,West_Midlands_Region,0.3602,0.6158,0.1837,497.0,0.4085
LogisticRegression,region,Reweighing,Yorkshire_Region,0.435,0.6566,0.24,423.0,0.4681
LogisticRegression,region,Reweighing,Scotland,0.5007,0.6766,0.3275,679.0,0.4963
LogisticRegression,region,Reweighing,South_West_Region,0.5152,0.7531,0.2857,495.0,0.4909
LogisticRegression,region,Reweighing,Wales,0.4272,0.6286,0.2828,419.0,0.4177
LogisticRegression,region,ExponentiatedGradient,South_East_Region,0.4766,0.6681,0.2719,449.0,0.5167
LogisticRegression,region,ExponentiatedGradient,Other,0.4509,0.6732,0.2543,652.0,0.4693
LogisticRegression,region,ExponentiatedGradient,North_Western_Region,0.4682,0.6966,0.3141,581.0,0.4028
LogisticRegression,region,ExponentiatedGradient,London_Region,0.4863,0.6906,0.3207,621.0,0.4477
LogisticRegression,region,ExponentiatedGradient,South_Region,0.4803,0.6442,0.2923,610.0,0.5344
LogisticRegression,region,ExponentiatedGradient,Ireland,0.4933,0.6288,0.2967,223.0,0.5919
LogisticRegression,region,ExponentiatedGradient,North_Region,0.4695,0.6768,0.2602,394.0,0.5025
LogisticRegression,region,ExponentiatedGradient,East_Midlands_Region,0.4727,0.6698,0.3103,476.0,0.4517
LogisticRegression,region,ExponentiatedGradient,West_Midlands_Region,0.4185,0.6798,0.2381,497.0,0.4085
LogisticRegression,region,ExponentiatedGradient,Yorkshire_Region,0.4775,0.697,0.2844,423.0,0.4681
LogisticRegression,region,ExponentiatedGradient,Scotland,0.489,0.6677,0.3129,679.0,0.4963
LogisticRegression,region,ExponentiatedGradient,South_West_Region,0.4707,0.716,0.2341,495.0,0.4909
LogisticRegression,region,ExponentiatedGradient,Wales,0.4368,0.6457,0.2869,419.0,0.4177
LogisticRegression,region,ThresholdOptimizer,South_East_Region,0.4499,0.6466,0.2396,449.0,0.5167
LogisticRegression,region,ThresholdOptimizer,Other,0.4417,0.6536,0.2543,652.0,0.4693
LogisticRegression,region,ThresholdOptimizer,North_Western_Region,0.4733,0.6966,0.3228,581.0,0.4028
LogisticRegression,region,ThresholdOptimizer,London_Region,0.4879,0.6942,0.3207,621.0,0.4477
LogisticRegression,region,ThresholdOptimizer,South_Region,0.459,0.6319,0.2606,610.0,0.5344
LogisticRegression,region,ThresholdOptimizer,Ireland,0.4798,0.5909,0.3187,223.0,0.5919
LogisticRegression,region,ThresholdOptimizer,North_Region,0.4365,0.6465,0.2245,394.0,0.5025
LogisticRegression,region,ThresholdOptimizer,East_Midlands_Region,0.4601,0.6651,0.2912,476.0,0.4517
LogisticRegression,region,ThresholdOptimizer,West_Midlands_Region,0.4185,0.6798,0.2381,497.0,0.4085
LogisticRegression,region,ThresholdOptimizer,Yorkshire_Region,0.4823,0.7121,0.28,423.0,0.4681
LogisticRegression,region,ThresholdOptimizer,Scotland,0.4801,0.6528,0.3099,679.0,0.4963
LogisticRegression,region,ThresholdOptimizer,South_West_Region,0.4465,0.6708,0.2302,495.0,0.4909
LogisticRegression,region,ThresholdOptimizer,Wales,0.4272,0.6343,0.2787,419.0,0.4177
LogisticRegression,region,Suppression,South_East_Region,0.4967,0.681,0.2995,449.0,0.5167
LogisticRegression,region,Suppression,Other,0.4739,0.6961,0.2775,652.0,0.4693
LogisticRegression,region,Suppression,North_Western_Region,0.4062,0.6325,0.2536,581.0,0.4028
LogisticRegression,region,Suppression,London_Region,0.4187,0.6115,0.2624,621.0,0.4477
LogisticRegression,region,Suppression,South_Region,0.5279,0.684,0.3486,610.0,0.5344
LogisticRegression,region,Suppression,Ireland,0.5067,0.6288,0.3297,223.0,0.5919
LogisticRegression,region,Suppression,North_Region,0.4264,0.6414,0.2092,394.0,0.5025
LogisticRegression,region,Suppression,East_Midlands_Region,0.4643,0.6605,0.3027,476.0,0.4517
LogisticRegression,region,Suppression,West_Midlands_Region,0.3742,0.6355,0.1939,497.0,0.4085
LogisticRegression,region,Suppression,Yorkshire_Region,0.4681,0.6818,0.28,423.0,0.4681
LogisticRegression,region,Suppression,Scotland,0.5331,0.7181,0.3509,679.0,0.4963
LogisticRegression,region,Suppression,South_West_Region,0.4687,0.7078,0.2381,495.0,0.4909
LogisticRegression,region,Suppression,Wales,0.4558,0.6686,0.3033,419.0,0.4177
RandomForest,region,Baseline,South_East_Region,0.5367,0.7198,0.341,449.0,0.5167
RandomForest,region,Baseline,Other,0.4831,0.7059,0.2861,652.0,0.4693
RandomForest,region,Baseline,North_Western_Region,0.3941,0.6197,0.2421,581.0,0.4028
RandomForest,region,Baseline,London_Region,0.4106,0.6223,0.2391,621.0,0.4477
RandomForest,region,Baseline,South_Region,0.5525,0.7331,0.3451,610.0,0.5344
RandomForest,region,Baseline,Ireland,0.6233,0.7576,0.4286,223.0,0.5919
RandomForest,region,Baseline,North_Region,0.4975,0.7121,0.2806,394.0,0.5025
RandomForest,region,Baseline,East_Midlands_Region,0.4496,0.6744,0.2644,476.0,0.4517
RandomForest,region,Baseline,West_Midlands_Region,0.3984,0.6207,0.2449,497.0,0.4085
RandomForest,region,Baseline,Yorkshire_Region,0.4515,0.6768,0.2533,423.0,0.4681
RandomForest,region,Baseline,Scotland,0.511,0.7062,0.3187,679.0,0.4963
RandomForest,region,Baseline,South_West_Region,0.5051,0.7284,0.2897,495.0,0.4909
RandomForest,region,Baseline,Wales,0.4439,0.6171,0.3197,419.0,0.4177
RandomForest,region,Reweighing,South_East_Region,0.5612,0.7457,0.3641,449.0,0.5167
RandomForest,region,Reweighing,Other,0.4877,0.6993,0.3006,652.0,0.4693
RandomForest,region,Reweighing,North_Western_Region,0.4114,0.6453,0.2536,581.0,0.4028
RandomForest,region,Reweighing,London_Region,0.4187,0.6367,0.242,621.0,0.4477
