model,sensitive_attr,miti_method,group,min_group_recall,gap,count,false_fairness_flag
LogisticRegression,sensitive_age_group,Baseline,Young/Class_1,0.778,0.0697,4432.0,False
LogisticRegression,sensitive_age_group,Reweighing,Young/Class_1,0.784,0.0655,4432.0,False
LogisticRegression,sensitive_age_group,ExponentiatedGradient,Young/Class_1,0.792,0.0485,4432.0,False
LogisticRegression,sensitive_age_group,ThresholdOptimizer,Young/Class_1,0.414,0.0018,4432.0,False
LogisticRegression,sensitive_age_group,Suppression,Young/Class_1,0.81,0.0197,4432.0,False
RandomForest,sensitive_age_group,Baseline,Young/Class_1,0.336,0.026,4432.0,False
RandomForest,sensitive_age_group,Reweighing,Young/Class_1,0.33,0.0392,4432.0,False
RandomForest,sensitive_age_group,ExponentiatedGradient,Young/Class_1,0.326,0.036,4432.0,False
RandomForest,sensitive_age_group,ThresholdOptimizer,Old/Class_0,0.3082,0.3898,4611.0,False
RandomForest,sensitive_age_group,Suppression,Young/Class_1,0.342,0.0272,4432.0,False
XGB,sensitive_age_group,Baseline,Young/Class_1,0.402,0.0639,4432.0,False
XGB,sensitive_age_group,Reweighing,Young/Class_1,0.404,0.0512,4432.0,False
XGB,sensitive_age_group,ExponentiatedGradient,Young/Class_1,0.414,0.0358,4432.0,False
XGB,sensitive_age_group,ThresholdOptimizer,Young/Class_1,0.452,0.0498,4432.0,False
XGB,sensitive_age_group,Suppression,Young/Class_1,0.412,0.0539,4432.0,False
LogisticRegression,sensitive_marital,Baseline,Young/Class_1,0.7772,0.0814,5443.0,False
LogisticRegression,sensitive_marital,Reweighing,Young/Class_1,0.7825,0.07,5443.0,False
LogisticRegression,sensitive_marital,ExponentiatedGradient,Old/Class_0,0.793,0.0385,3600.0,False
LogisticRegression,sensitive_marital,ThresholdOptimizer,Old/Class_0,0.373,0.0727,3600.0,False
LogisticRegression,sensitive_marital,Suppression,Young/Class_1,0.8105,0.0255,5443.0,False
RandomForest,sensitive_marital,Baseline,Young/Class_1,0.3263,0.0507,5443.0,False
RandomForest,sensitive_marital,Reweighing,Young/Class_1,0.3053,0.0943,5443.0,False
RandomForest,sensitive_marital,ExponentiatedGradient,Old/Class_0,0.293,0.007,3600.0,False
RandomForest,sensitive_marital,ThresholdOptimizer,Old/Class_0,0.1066,0.4899,3600.0,False
RandomForest,sensitive_marital,Suppression,Young/Class_1,0.3439,0.0025,5443.0,False
XGB,sensitive_marital,Baseline,Young/Class_1,0.3737,0.1345,5443.0,False
XGB,sensitive_marital,Reweighing,Young/Class_1,0.3842,0.1158,5443.0,False
XGB,sensitive_marital,ExponentiatedGradient,Young/Class_1,0.4351,0.0055,5443.0,False
XGB,sensitive_marital,ThresholdOptimizer,Old/Class_0,0.3832,0.0554,3600.0,False
XGB,sensitive_marital,Suppression,Young/Class_1,0.4123,0.0426,5443.0,False
LogisticRegression,sensitive_education,Baseline,Old/Class_0,0.7856,0.0736,6336.0,False
LogisticRegression,sensitive_education,Reweighing,Old/Class_0,0.7997,0.0476,6336.0,False
LogisticRegression,sensitive_education,ExponentiatedGradient,Young/Class_1,0.7828,0.0435,2707.0,False
LogisticRegression,sensitive_education,ThresholdOptimizer,Young/Class_1,0.3031,0.1022,2707.0,False
LogisticRegression,sensitive_education,Suppression,Old/Class_0,0.8028,0.0253,6336.0,False
RandomForest,sensitive_education,Baseline,Old/Class_0,0.3192,0.0769,6336.0,False
RandomForest,sensitive_education,Reweighing,Old/Class_0,0.3192,0.0698,6336.0,False
RandomForest,sensitive_education,ExponentiatedGradient,Old/Class_0,0.3146,0.01,6336.0,False
RandomForest,sensitive_education,ThresholdOptimizer,Young/Class_1,0.1695,0.4002,2707.0,False
RandomForest,sensitive_education,Suppression,Old/Class_0,0.3302,0.0493,6336.0,False
XGB,sensitive_education,Baseline,Old/Class_0,0.4053,0.0768,6336.0,False
XGB,sensitive_education,Reweighing,Old/Class_0,0.4288,0.0509,6336.0,False
XGB,sensitive_education,ExponentiatedGradient,Young/Class_1,0.3819,0.0579,2707.0,False
XGB,sensitive_education,ThresholdOptimizer,Young/Class_1,0.3532,0.0975,2707.0,False
XGB,sensitive_education,Suppression,Old/Class_0,0.4257,0.023,6336.0,False
