model,sensitive_attr,miti_method,observed_gap,true_prevalence_gap,amplification,max_sr_group,min_sr_group
LogisticRegression,sensitive_age_group,Baseline,0.0595,0.0082,0.0513,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_age_group,Reweighing,0.0543,0.0082,0.0461,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_age_group,ExponentiatedGradient,0.036,0.0082,0.0278,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_age_group,ThresholdOptimizer,0.0002,0.0082,-0.008,Young/Class_1,Old/Class_0
LogisticRegression,sensitive_age_group,Suppression,0.0242,0.0082,0.016,Old/Class_0,Young/Class_1
RandomForest,sensitive_age_group,Baseline,0.0054,0.0082,-0.0028,Old/Class_0,Young/Class_1
RandomForest,sensitive_age_group,Reweighing,0.0067,0.0082,-0.0015,Old/Class_0,Young/Class_1
RandomForest,sensitive_age_group,ExponentiatedGradient,0.0069,0.0082,-0.0013,Old/Class_0,Young/Class_1
RandomForest,sensitive_age_group,ThresholdOptimizer,0.1036,0.0082,0.0954,Young/Class_1,Old/Class_0
RandomForest,sensitive_age_group,Suppression,0.0046,0.0082,-0.0036,Old/Class_0,Young/Class_1
XGB,sensitive_age_group,Baseline,0.0127,0.0082,0.0045,Old/Class_0,Young/Class_1
XGB,sensitive_age_group,Reweighing,0.0107,0.0082,0.0025,Old/Class_0,Young/Class_1
XGB,sensitive_age_group,ExponentiatedGradient,0.0074,0.0082,-0.0008,Old/Class_0,Young/Class_1
XGB,sensitive_age_group,ThresholdOptimizer,0.0088,0.0082,0.0006,Old/Class_0,Young/Class_1
XGB,sensitive_age_group,Suppression,0.01,0.0082,0.0018,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_marital,Baseline,0.1014,0.0309,0.0705,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_marital,Reweighing,0.0935,0.0309,0.0626,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_marital,ExponentiatedGradient,0.0088,0.0309,-0.0221,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_marital,ThresholdOptimizer,0.0039,0.0309,-0.027,Young/Class_1,Old/Class_0
LogisticRegression,sensitive_marital,Suppression,0.0507,0.0309,0.0198,Old/Class_0,Young/Class_1
RandomForest,sensitive_marital,Baseline,0.0255,0.0309,-0.0054,Old/Class_0,Young/Class_1
RandomForest,sensitive_marital,Reweighing,0.029,0.0309,-0.0019,Old/Class_0,Young/Class_1
RandomForest,sensitive_marital,ExponentiatedGradient,0.0116,0.0309,-0.0193,Old/Class_0,Young/Class_1
RandomForest,sensitive_marital,ThresholdOptimizer,0.0987,0.0309,0.0678,Young/Class_1,Old/Class_0
RandomForest,sensitive_marital,Suppression,0.0143,0.0309,-0.0166,Old/Class_0,Young/Class_1
XGB,sensitive_marital,Baseline,0.0399,0.0309,0.009,Old/Class_0,Young/Class_1
XGB,sensitive_marital,Reweighing,0.0373,0.0309,0.0064,Old/Class_0,Young/Class_1
XGB,sensitive_marital,ExponentiatedGradient,0.0163,0.0309,-0.0146,Old/Class_0,Young/Class_1
XGB,sensitive_marital,ThresholdOptimizer,0.0005,0.0309,-0.0304,Old/Class_0,Young/Class_1
XGB,sensitive_marital,Suppression,0.0221,0.0309,-0.0088,Old/Class_0,Young/Class_1
LogisticRegression,sensitive_education,Baseline,0.1336,0.0539,0.0797,Young/Class_1,Old/Class_0
LogisticRegression,sensitive_education,Reweighing,0.1179,0.0539,0.064,Young/Class_1,Old/Class_0
LogisticRegression,sensitive_education,ExponentiatedGradient,0.0354,0.0539,-0.0185,Young/Class_1,Old/Class_0
LogisticRegression,sensitive_education,ThresholdOptimizer,0.0026,0.0539,-0.0513,Young/Class_1,Old/Class_0
LogisticRegression,sensitive_education,Suppression,0.0846,0.0539,0.0307,Young/Class_1,Old/Class_0
RandomForest,sensitive_education,Baseline,0.0397,0.0539,-0.0142,Young/Class_1,Old/Class_0
RandomForest,sensitive_education,Reweighing,0.0353,0.0539,-0.0186,Young/Class_1,Old/Class_0
RandomForest,sensitive_education,ExponentiatedGradient,0.0212,0.0539,-0.0327,Young/Class_1,Old/Class_0
RandomForest,sensitive_education,ThresholdOptimizer,0.067,0.0539,0.0131,Old/Class_0,Young/Class_1
RandomForest,sensitive_education,Suppression,0.0312,0.0539,-0.0227,Young/Class_1,Old/Class_0
XGB,sensitive_education,Baseline,0.0456,0.0539,-0.0083,Young/Class_1,Old/Class_0
XGB,sensitive_education,Reweighing,0.0427,0.0539,-0.0112,Young/Class_1,Old/Class_0
XGB,sensitive_education,ExponentiatedGradient,0.0174,0.0539,-0.0365,Young/Class_1,Old/Class_0
XGB,sensitive_education,ThresholdOptimizer,0.0045,0.0539,-0.0494,Young/Class_1,Old/Class_0
XGB,sensitive_education,Suppression,0.0352,0.0539,-0.0187,Young/Class_1,Old/Class_0
