model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,sensitive_age_group,Baseline,Young/Class_1,0.2044,0.778,0.1315,4432.0,0.1128
LogisticRegression,sensitive_age_group,Baseline,Old/Class_0,0.2639,0.8477,0.1836,4611.0,0.121
LogisticRegression,sensitive_age_group,Reweighing,Young/Class_1,0.2085,0.784,0.1353,4432.0,0.1128
LogisticRegression,sensitive_age_group,Reweighing,Old/Class_0,0.2628,0.8495,0.1821,4611.0,0.121
LogisticRegression,sensitive_age_group,ExponentiatedGradient,Young/Class_1,0.2141,0.792,0.1406,4432.0,0.1128
LogisticRegression,sensitive_age_group,ExponentiatedGradient,Old/Class_0,0.2501,0.8405,0.1688,4611.0,0.121
LogisticRegression,sensitive_age_group,ThresholdOptimizer,Young/Class_1,0.0796,0.414,0.0371,4432.0,0.1128
LogisticRegression,sensitive_age_group,ThresholdOptimizer,Old/Class_0,0.0794,0.4158,0.0331,4611.0,0.121
LogisticRegression,sensitive_age_group,Suppression,Young/Class_1,0.2222,0.81,0.1475,4432.0,0.1128
LogisticRegression,sensitive_age_group,Suppression,Old/Class_0,0.2464,0.8297,0.166,4611.0,0.121
RandomForest,sensitive_age_group,Baseline,Young/Class_1,0.0566,0.336,0.0211,4432.0,0.1128
RandomForest,sensitive_age_group,Baseline,Old/Class_0,0.062,0.362,0.0207,4611.0,0.121
RandomForest,sensitive_age_group,Reweighing,Young/Class_1,0.0573,0.33,0.0226,4432.0,0.1128
RandomForest,sensitive_age_group,Reweighing,Old/Class_0,0.064,0.3692,0.022,4611.0,0.121
RandomForest,sensitive_age_group,ExponentiatedGradient,Young/Class_1,0.0566,0.326,0.0224,4432.0,0.1128
RandomForest,sensitive_age_group,ExponentiatedGradient,Old/Class_0,0.0635,0.362,0.0225,4611.0,0.121
RandomForest,sensitive_age_group,ThresholdOptimizer,Young/Class_1,0.1541,0.698,0.0849,4432.0,0.1128
RandomForest,sensitive_age_group,ThresholdOptimizer,Old/Class_0,0.0505,0.3082,0.0151,4611.0,0.121
RandomForest,sensitive_age_group,Suppression,Young/Class_1,0.0589,0.342,0.0229,4432.0,0.1128
RandomForest,sensitive_age_group,Suppression,Old/Class_0,0.0635,0.3692,0.0215,4611.0,0.121
XGB,sensitive_age_group,Baseline,Young/Class_1,0.0706,0.402,0.0285,4432.0,0.1128
XGB,sensitive_age_group,Baseline,Old/Class_0,0.0833,0.4659,0.0306,4611.0,0.121
XGB,sensitive_age_group,Reweighing,Young/Class_1,0.0713,0.404,0.029,4432.0,0.1128
XGB,sensitive_age_group,Reweighing,Old/Class_0,0.082,0.4552,0.0306,4611.0,0.121
XGB,sensitive_age_group,ExponentiatedGradient,Young/Class_1,0.0731,0.414,0.0298,4432.0,0.1128
XGB,sensitive_age_group,ExponentiatedGradient,Old/Class_0,0.0805,0.4498,0.0296,4611.0,0.121
XGB,sensitive_age_group,ThresholdOptimizer,Young/Class_1,0.0819,0.452,0.0348,4432.0,0.1128
XGB,sensitive_age_group,ThresholdOptimizer,Old/Class_0,0.0907,0.5018,0.034,4611.0,0.121
XGB,sensitive_age_group,Suppression,Young/Class_1,0.0722,0.412,0.029,4432.0,0.1128
