model,sensitive_attr,miti_method,accuracy,precision,recall,f1,roc_auc,Equal Opportunity,Equalized Odds,Demographic Parity
LogisticRegression,sensitive_age_group,Baseline,0.838880902355413,0.4060292039566651,0.8147448015122873,0.5419679346117573,0.8284118497229565,0.06967025089605727,0.06967025089605727,0.059511688029018656
LogisticRegression,sensitive_age_group,Reweighing,0.8383279884993918,0.4054307116104869,0.8185255198487713,0.5422667501565435,0.8297386522224446,0.06546236559139784,0.06546236559139784,0.05436595270922537
LogisticRegression,sensitive_age_group,ExponentiatedGradient,0.8418666371779276,0.4115128449096099,0.8175803402646503,0.5474683544303798,0.8313324368824817,0.0485017921146953,0.0485017921146953,0.035929669437469836
LogisticRegression,sensitive_age_group,ThresholdOptimizer,0.9005860886873825,0.6105702364394993,0.41493383742911155,0.494091164884637,0.6899340445755452,0.001770609318996419,0.004069301490751104,0.0002726078041287161
LogisticRegression,sensitive_age_group,Suppression,0.8404290611522724,0.40924092409240925,0.8204158790170132,0.5460836741113557,0.8317483277364339,0.01974910394265228,0.01974910394265228,0.024120089927790023
RandomForest,sensitive_age_group,Baseline,0.9054517306203693,0.6890130353817505,0.3497164461247637,0.46394984326018807,0.6644011159866148,0.026007168458781316,0.026007168458781316,0.005392016970875643
RandomForest,sensitive_age_group,Reweighing,0.9043459029083268,0.6757741347905283,0.3506616257088847,0.46172993154947106,0.6641849142946428,0.03917562724014334,0.03917562724014334,0.006666975925564901
RandomForest,sensitive_age_group,ExponentiatedGradient,0.9035718235098972,0.6709558823529411,0.3449905482041588,0.4556803995006242,0.6612867581346406,0.036007168458781325,0.036007168458781325,0.006910125840968895
RandomForest,sensitive_age_group,ThresholdOptimizer,0.8969368572376424,0.5687772925764192,0.4924385633270321,0.5278622087132725,0.7214854056459832,0.3897562724014336,0.3897562724014336,0.1035751600904132
RandomForest,sensitive_age_group,Suppression,0.9051199823067566,0.6805054151624549,0.3563327032136106,0.46774193548387094,0.667083070454645,0.02717562724014333,0.02717562724014333,0.0046538081514382115
XGB,sensitive_age_group,Baseline,0.9078845515868628,0.6614060258249641,0.43572778827977315,0.5253561253561253,0.7030861859370062,0.06394982078853045,0.06394982078853045,0.012656371477090964
XGB,sensitive_age_group,Reweighing,0.907110472188433,0.6570605187319885,0.43100189035916825,0.5205479452054794,0.7005980021614251,0.05119713261648745,0.05119713261648745,0.010678239995866104
XGB,sensitive_age_group,ExponentiatedGradient,0.9074422205020458,0.6589928057553956,0.43289224952741023,0.522532800912721,0.7016057991531853,0.035820788530466,0.035820788530466,0.007355076974148306
XGB,sensitive_age_group,ThresholdOptimizer,0.9085480482140883,0.647887323943662,0.4782608695652174,0.5502990755845568,0.7219106476817946,0.04979211469534045,0.04979211469534045,0.008748454684176205
XGB,sensitive_age_group,Suppression,0.9087692137564968,0.6666666666666666,0.44045368620037806,0.5304496300512237,0.7056369871202266,0.0539498207885305,0.0539498207885305,0.009992585615781438
LogisticRegression,sensitive_marital,Baseline,0.838880902355413,0.4060292039566651,0.8147448015122873,0.5419679346117573,0.8284118497229565,0.08141357492090884,0.08141357492090884,0.10145523302100556
LogisticRegression,sensitive_marital,Reweighing,0.8407608094658852,0.409306742640076,0.8147448015122873,0.5448798988621998,0.829476345652825,0.07000287604256539,0.07380900317947328,0.0935025108702309
LogisticRegression,sensitive_marital,ExponentiatedGradient,0.8415348888643149,0.4105865522174535,0.8137996219281664,0.5458003169572108,0.829504695121879,0.03854616048317516,0.03854616048317516,0.008855512687039407
LogisticRegression,sensitive_marital,ThresholdOptimizer,0.8995908437465443,0.6038781163434903,0.4120982986767486,0.4898876404494382,0.6881405707535276,0.07266321541558812,0.07266321541558812,0.003888939922836676
LogisticRegression,sensitive_marital,Suppression,0.8406502266946809,0.40979745642958076,0.8223062381852552,0.5469977994341402,0.832693507320555,0.025539257981018193,0.030891257477195844,0.05069023414375243
RandomForest,sensitive_marital,Baseline,0.9054517306203693,0.6890130353817505,0.3497164461247637,0.46394984326018807,0.6644011159866148,0.0507333908541846,0.0507333908541846,0.02548466940208626
RandomForest,sensitive_marital,Reweighing,0.9034612407386929,0.6672694394213382,0.3487712665406427,0.4581005586592179,0.6628640302646858,0.09432700603968941,0.09432700603968941,0.0290061138669443
RandomForest,sensitive_marital,ExponentiatedGradient,0.9019130819418335,0.687089715536105,0.29678638941398866,0.4145214521452145,0.639438905414571,0.006967213114754067,0.006967213114754067,0.011569446996141833
RandomForest,sensitive_marital,ThresholdOptimizer,0.8930664602454937,0.5656565656565656,0.3705103969754253,0.4477441462021702,0.6664073587882763,0.48993385102099507,0.48993385102099507,0.09870649355951579
RandomForest,sensitive_marital,Suppression,0.9029083268826716,0.6636363636363637,0.3449905482041588,0.4539800995024876,0.6609110536888045,0.0024518262870290575,0.004686188572782083,0.014327780839814647
XGB,sensitive_marital,Baseline,0.9078845515868628,0.6614060258249641,0.43572778827977315,0.5253561253561253,0.7030861859370062,0.13451251078515963,0.13451251078515963,0.039931614509972034
XGB,sensitive_marital,Reweighing,0.9086586309852925,0.6671469740634006,0.43761814744801514,0.5285388127853882,0.7043444525593238,0.11578947368421055,0.11578947368421055,0.037252281217465856
XGB,sensitive_marital,ExponentiatedGradient,0.9085480482140883,0.6661870503597123,0.43761814744801514,0.5282373074729035,0.7042818351516845,0.005486051193557662,0.005486051193557662,0.016301059464755963
XGB,sensitive_marital,ThresholdOptimizer,0.905783478933982,0.6541916167664671,0.41304347826086957,0.5063731170336037,0.6920571179657511,0.05539976991659473,0.05539976991659473,0.000494059648478179
XGB,sensitive_marital,Suppression,0.9065575583324118,0.651925820256776,0.43194706994328924,0.519613416714042,0.7006948875076497,0.04263733103249928,0.04263733103249928,0.022121226039561515
LogisticRegression,sensitive_education,Baseline,0.838880902355413,0.4060292039566651,0.8147448015122873,0.5419679346117573,0.8284118497229565,0.07358604024038151,0.10271761545458227,0.1336477305377379
LogisticRegression,sensitive_education,Reweighing,0.8364480813889196,0.40222944728286114,0.8185255198487713,0.5393958268452196,0.828674156292576,0.04756835897378442,0.08835230725041152,0.11784082280134184
LogisticRegression,sensitive_education,ExponentiatedGradient,0.8433042132035828,0.4133268952197006,0.8090737240075614,0.547139661233621,0.8284567117220023,0.04347485069526147,0.04347485069526147,0.03535213606325538
LogisticRegression,sensitive_education,ThresholdOptimizer,0.8995908437465443,0.6205787781350482,0.3648393194706994,0.4595238095238095,0.6676419515324693,0.10221818847318864,0.10221818847318864,0.0025338231782173343
LogisticRegression,sensitive_education,Suppression,0.8420878027203361,0.41148325358851673,0.8128544423440454,0.5463786531130876,0.8294078097756545,0.025345389761000314,0.05302562322704504,0.08455024944681391
RandomForest,sensitive_education,Baseline,0.9054517306203693,0.6890130353817505,0.3497164461247637,0.46394984326018807,0.6644011159866148,0.07693255795713022,0.07693255795713022,0.0396750684719377
RandomForest,sensitive_education,Reweighing,0.9035718235098972,0.6697080291970803,0.34688090737240074,0.45703611457036114,0.6621067029034828,0.06977265342252403,0.06977265342252403,0.03530275277712478
RandomForest,sensitive_education,ExponentiatedGradient,0.9014707508570164,0.6646942800788954,0.31852551984877125,0.4306709265175719,0.6486178006257006,0.010028348291819367,0.010028348291819367,0.021211316620210238
RandomForest,sensitive_education,ThresholdOptimizer,0.8982638504920933,0.5942622950819673,0.4111531190926276,0.4860335195530726,0.6869791894774346,0.4001889886121289,0.4001889886121289,0.06702413869018967
RandomForest,sensitive_education,Suppression,0.9040141545947141,0.6727272727272727,0.3497164461247637,0.4601990049751244,0.6635870896873035,0.049271497454629665,0.049271497454629665,0.03129640979428567
XGB,sensitive_education,Baseline,0.9078845515868628,0.6614060258249641,0.43572778827977315,0.5253561253561253,0.7030861859370062,0.07677942489196649,0.07677942489196649,0.04552975730709384
XGB,sensitive_education,Reweighing,0.9089903792989052,0.6643356643356644,0.44896030245746693,0.535815002820079,0.7094519733952958,0.05091861164334188,0.05091861164334188,0.04268884821618475
XGB,sensitive_education,ExponentiatedGradient,0.9055623133915736,0.6504424778761062,0.4168241965973535,0.5080645161290323,0.6935717726881571,0.057888033584695686,0.057888033584695686,0.017421280593149818
XGB,sensitive_education,ThresholdOptimizer,0.9061152272475949,0.6576168929110106,0.4120982986767486,0.5066821615339918,0.6918349978042478,0.09748226831153989,0.09748226831153989,0.004498718250103548
XGB,sensitive_education,Suppression,0.907110472188433,0.6552706552706553,0.43478260869565216,0.5227272727272727,0.7022378916991098,0.023022249113882454,0.023022249113882454,0.035250279391625894
