model,fold,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
LogisticRegression,0,0.6483,0.2037,0.5739,0.3007,0.7110
LogisticRegression,1,0.6804,0.2445,0.6724,0.3586,0.7201
LogisticRegression,2,0.6850,0.2444,0.6552,0.3560,0.7190
LogisticRegression,3,0.6827,0.2395,0.6379,0.3482,0.7097
LogisticRegression,4,0.6491,0.2199,0.6522,0.3289,0.7384
LogisticRegression,mean,0.6691,0.2304,0.6383,0.3385,0.7196
LogisticRegression,std,0.0187,0.0180,0.0380,0.0241,0.0115
RandomForest,0,0.8156,0.2653,0.2261,0.2441,0.7187
RandomForest,1,0.8328,0.3529,0.3103,0.3303,0.7554
RandomForest,2,0.8270,0.3267,0.2845,0.3041,0.7156
RandomForest,3,0.8362,0.3373,0.2414,0.2814,0.7331
RandomForest,4,0.8463,0.3956,0.3130,0.3495,0.7607
RandomForest,mean,0.8316,0.3356,0.2751,0.3019,0.7367
RandomForest,std,0.0114,0.0472,0.0397,0.0413,0.0206
XGB,0,0.7228,0.2622,0.6087,0.3665,0.7267
XGB,1,0.7125,0.2545,0.6034,0.3581,0.7544
XGB,2,0.7308,0.2591,0.5517,0.3526,0.7199
XGB,3,0.7331,0.2552,0.5259,0.3437,0.7352
XGB,4,0.7087,0.2612,0.6609,0.3744,0.7581
XGB,mean,0.7216,0.2584,0.5901,0.3590,0.7389
XGB,std,0.0108,0.0034,0.0528,0.0119,0.0168
