model,sensitive_attr,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,gender,Female,0.4258,0.7143,0.3716,620.0000,0.1581
LogisticRegression,gender,Male,0.2866,0.5532,0.2571,471.0000,0.0998
LogisticRegression,income,Above threshold,0.2238,0.4815,0.1947,800.0000,0.1013
LogisticRegression,income,Low income,0.8122,0.9524,0.7742,197.0000,0.2132
LogisticRegression,income,Near poverty,0.6383,0.7727,0.5972,94.0000,0.2340
LogisticRegression,race,Asian,0.0556,0.1667,0.0417,54.0000,0.1111
LogisticRegression,race,Black,0.4733,0.6500,0.4414,131.0000,0.1527
LogisticRegression,race,Hispanic,0.5260,0.8065,0.4648,173.0000,0.1792
LogisticRegression,race,Other Race,0.5224,0.8000,0.4737,67.0000,0.1493
LogisticRegression,race,White,0.3123,0.6282,0.2704,666.0000,0.1171
RandomForest,gender,Female,0.1419,0.3571,0.1015,620.0000,0.1581
RandomForest,gender,Male,0.0913,0.1915,0.0802,471.0000,0.0998
RandomForest,income,Above threshold,0.0488,0.1975,0.0320,800.0000,0.1013
RandomForest,income,Low income,0.3655,0.4762,0.3355,197.0000,0.2132
RandomForest,income,Near poverty,0.2128,0.3636,0.1667,94.0000,0.2340
RandomForest,race,Asian,0.0000,0.0000,0.0000,54.0000,0.1111
RandomForest,race,Black,0.2366,0.4500,0.1982,131.0000,0.1527
RandomForest,race,Hispanic,0.1503,0.3226,0.1127,173.0000,0.1792
RandomForest,race,Other Race,0.2090,0.3000,0.1930,67.0000,0.1493
RandomForest,race,White,0.0901,0.2821,0.0646,666.0000,0.1171
XGB,gender,Female,0.3403,0.6633,0.2797,620.0000,0.1581
XGB,gender,Male,0.2675,0.5319,0.2382,471.0000,0.0998
XGB,income,Above threshold,0.1888,0.4568,0.1586,800.0000,0.1013
XGB,income,Low income,0.6650,0.8810,0.6065,197.0000,0.2132
XGB,income,Near poverty,0.5851,0.7273,0.5417,94.0000,0.2340
XGB,race,Asian,0.0556,0.0000,0.0625,54.0000,0.1111
XGB,race,Black,0.4122,0.6500,0.3694,131.0000,0.1527
XGB,race,Hispanic,0.4393,0.6774,0.3873,173.0000,0.1792
XGB,race,Other Race,0.4179,0.5000,0.4035,67.0000,0.1493
XGB,race,White,0.2643,0.6538,0.2126,666.0000,0.1171
