model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,gender,Baseline,Female,0.4258,0.7143,0.3716,620.0000,0.1581
LogisticRegression,gender,Baseline,Male,0.2866,0.5532,0.2571,471.0000,0.0998
LogisticRegression,gender,Reweighing,Female,0.3565,0.6327,0.3046,620.0000,0.1581
LogisticRegression,gender,Reweighing,Male,0.3885,0.6596,0.3585,471.0000,0.0998
LogisticRegression,gender,ExponentiatedGradient,Female,0.3661,0.6531,0.3123,620.0000,0.1581
LogisticRegression,gender,ExponentiatedGradient,Male,0.3694,0.6170,0.3420,471.0000,0.0998
LogisticRegression,gender,ThresholdOptimizer,Female,0.3516,0.6429,0.2969,620.0000,0.1581
LogisticRegression,gender,ThresholdOptimizer,Male,0.3949,0.5957,0.3726,471.0000,0.0998
LogisticRegression,gender,Suppression,Female,0.3548,0.6224,0.3046,620.0000,0.1581
LogisticRegression,gender,Suppression,Male,0.3885,0.6383,0.3608,471.0000,0.0998
LogisticRegression,income,Baseline,Above threshold,0.2238,0.4815,0.1947,800.0000,0.1013
LogisticRegression,income,Baseline,Low income,0.8122,0.9524,0.7742,197.0000,0.2132
LogisticRegression,income,Baseline,Near poverty,0.6383,0.7727,0.5972,94.0000,0.2340
LogisticRegression,income,Reweighing,Above threshold,0.3425,0.6049,0.3129,800.0000,0.1013
LogisticRegression,income,Reweighing,Low income,0.5025,0.6429,0.4645,197.0000,0.2132
LogisticRegression,income,Reweighing,Near poverty,0.5000,0.7273,0.4306,94.0000,0.2340
LogisticRegression,income,ExponentiatedGradient,Above threshold,0.0013,0.0000,0.0014,800.0000,0.1013
LogisticRegression,income,ExponentiatedGradient,Low income,0.0000,0.0000,0.0000,197.0000,0.2132
LogisticRegression,income,ExponentiatedGradient,Near poverty,0.0000,0.0000,0.0000,94.0000,0.2340
LogisticRegression,income,ThresholdOptimizer,Above threshold,0.6088,0.7901,0.5883,800.0000,0.1013
LogisticRegression,income,ThresholdOptimizer,Low income,0.6142,0.8095,0.5613,197.0000,0.2132
LogisticRegression,income,ThresholdOptimizer,Near poverty,0.7128,0.8636,0.6667,94.0000,0.2340
LogisticRegression,income,Suppression,Above threshold,0.2625,0.5062,0.2350,800.0000,0.1013
LogisticRegression,income,Suppression,Low income,0.7157,0.8571,0.6774,197.0000,0.2132
LogisticRegression,income,Suppression,Near poverty,0.6064,0.7727,0.5556,94.0000,0.2340
LogisticRegression,race,Baseline,Asian,0.0556,0.1667,0.0417,54.0000,0.1111
LogisticRegression,race,Baseline,Black,0.4733,0.6500,0.4414,131.0000,0.1527
LogisticRegression,race,Baseline,Hispanic,0.5260,0.8065,0.4648,173.0000,0.1792
LogisticRegression,race,Baseline,Other Race,0.5224,0.8000,0.4737,67.0000,0.1493
LogisticRegression,race,Baseline,White,0.3123,0.6282,0.2704,666.0000,0.1171
LogisticRegression,race,Reweighing,Asian,0.0556,0.1667,0.0417,54.0000,0.1111
LogisticRegression,race,Reweighing,Black,0.4275,0.6000,0.3964,131.0000,0.1527
LogisticRegression,race,Reweighing,Hispanic,0.4740,0.7097,0.4225,173.0000,0.1792
LogisticRegression,race,Reweighing,Other Race,0.4776,0.8000,0.4211,67.0000,0.1493
LogisticRegression,race,Reweighing,White,0.3333,0.6667,0.2891,666.0000,0.1171
LogisticRegression,race,ExponentiatedGradient,Asian,0.0370,0.0000,0.0417,54.0000,0.1111
LogisticRegression,race,ExponentiatedGradient,Black,0.0992,0.0000,0.1171,131.0000,0.1527
LogisticRegression,race,ExponentiatedGradient,Hispanic,0.0751,0.1613,0.0563,173.0000,0.1792
LogisticRegression,race,ExponentiatedGradient,Other Race,0.0896,0.1000,0.0877,67.0000,0.1493
LogisticRegression,race,ExponentiatedGradient,White,0.0871,0.1538,0.0782,666.0000,0.1171
LogisticRegression,race,ThresholdOptimizer,Asian,0.6667,0.5000,0.6875,54.0000,0.1111
LogisticRegression,race,ThresholdOptimizer,Black,0.5802,0.5500,0.5856,131.0000,0.1527
LogisticRegression,race,ThresholdOptimizer,Hispanic,0.5954,0.7097,0.5704,173.0000,0.1792
LogisticRegression,race,ThresholdOptimizer,Other Race,0.4776,0.7000,0.4386,67.0000,0.1493
LogisticRegression,race,ThresholdOptimizer,White,0.5886,0.6923,0.5748,666.0000,0.1171
LogisticRegression,race,Suppression,Asian,0.2778,0.1667,0.2917,54.0000,0.1111
LogisticRegression,race,Suppression,Black,0.6260,0.7500,0.6036,131.0000,0.1527
LogisticRegression,race,Suppression,Hispanic,0.5549,0.8065,0.5000,173.0000,0.1792
LogisticRegression,race,Suppression,Other Race,0.4478,0.7000,0.4035,67.0000,0.1493
LogisticRegression,race,Suppression,White,0.2778,0.6154,0.2330,666.0000,0.1171
RandomForest,gender,Baseline,Female,0.1419,0.3571,0.1015,620.0000,0.1581
RandomForest,gender,Baseline,Male,0.0913,0.1915,0.0802,471.0000,0.0998
RandomForest,gender,Reweighing,Female,0.1355,0.3367,0.0977,620.0000,0.1581
RandomForest,gender,Reweighing,Male,0.1040,0.2340,0.0896,471.0000,0.0998
RandomForest,gender,ExponentiatedGradient,Female,0.1306,0.3469,0.0900,620.0000,0.1581
