model,sensitive_attr,miti_method,accuracy,precision,recall,f1,roc_auc,Equal Opportunity,Equalized Odds,Demographic Parity
LogisticRegression,gender,Baseline,0.6774,0.2406,0.6621,0.3529,0.7187,0.1611,0.1611,0.1392
LogisticRegression,gender,Reweighing,0.6673,0.2302,0.6414,0.3388,0.7065,0.0269,0.0539,0.0321
LogisticRegression,gender,ExponentiatedGradient,0.6700,0.2319,0.6414,0.3407,,0.0360,0.0360,0.0033
LogisticRegression,gender,ThresholdOptimizer,0.6636,0.2252,0.6276,0.3315,,0.0471,0.0757,0.0433
LogisticRegression,gender,Suppression,0.6645,0.2258,0.6276,0.3321,0.7066,0.0158,0.0563,0.0337
LogisticRegression,income,Baseline,0.6774,0.2406,0.6621,0.3529,0.7187,0.4709,0.5795,0.5884
LogisticRegression,income,Reweighing,0.6508,0.2190,0.6345,0.3257,0.6977,0.1223,0.1516,0.1600
LogisticRegression,income,ExponentiatedGradient,0.8662,0.0000,0.0000,0.0000,,0.0000,0.0014,0.0013
LogisticRegression,income,ThresholdOptimizer,0.4629,0.1733,0.8069,0.2854,,0.0735,0.1054,0.1040
LogisticRegression,income,Suppression,0.6654,0.2304,0.6483,0.3400,0.7162,0.3510,0.4424,0.4532
LogisticRegression,race,Baseline,0.6774,0.2406,0.6621,0.3529,0.7187,0.6398,0.6398,0.4705
LogisticRegression,race,Reweighing,0.6792,0.2405,0.6552,0.3519,0.7149,0.6333,0.6333,0.4221
LogisticRegression,race,ExponentiatedGradient,0.8158,0.1957,0.1241,0.1519,,0.1613,0.1613,0.0622
LogisticRegression,race,ThresholdOptimizer,0.4592,0.1518,0.6690,0.2474,,0.2097,0.2489,0.1891
LogisticRegression,race,Suppression,0.6691,0.2353,0.6621,0.3472,0.7217,0.6398,0.6398,0.3482
RandomForest,gender,Baseline,0.8277,0.3359,0.3034,0.3188,0.7467,0.1657,0.1657,0.0506
RandomForest,gender,Reweighing,0.8258,0.3308,0.3034,0.3165,0.7467,0.1027,0.1027,0.0314
RandomForest,gender,ExponentiatedGradient,0.8286,0.3385,0.3034,0.3200,,0.1342,0.1342,0.0266
RandomForest,gender,ThresholdOptimizer,0.6489,0.2295,0.6966,0.3453,,0.0547,0.0547,0.0151
RandomForest,gender,Suppression,0.8231,0.3261,0.3103,0.3180,0.7419,0.0814,0.0814,0.0022
RandomForest,income,Baseline,0.8277,0.3359,0.3034,0.3188,0.7467,0.2787,0.3035,0.3167
RandomForest,income,Reweighing,0.8469,0.3878,0.2621,0.3128,0.7460,0.0836,0.0988,0.1101
RandomForest,income,ExponentiatedGradient,0.8460,0.3678,0.2207,0.2759,,0.0823,0.0823,0.0632
RandomForest,income,ThresholdOptimizer,0.5069,0.1594,0.6345,0.2548,,0.2503,0.2503,0.1773
RandomForest,income,Suppression,0.8313,0.3488,0.3103,0.3285,0.7515,0.1217,0.1951,0.2029
RandomForest,race,Baseline,0.8277,0.3359,0.3034,0.3188,0.7467,0.4500,0.4500,0.2366
RandomForest,race,Reweighing,0.8341,0.3636,0.3310,0.3466,0.7456,0.4500,0.4500,0.2290
RandomForest,race,ExponentiatedGradient,0.8323,0.3241,0.2414,0.2767,,0.3077,0.3077,0.1158
RandomForest,race,ThresholdOptimizer,0.6434,0.2095,0.6069,0.3115,,0.3333,0.3333,0.0966
RandomForest,race,Suppression,0.8258,0.3282,0.2966,0.3116,0.7442,0.5000,0.5000,0.2334
XGB,gender,Baseline,0.7232,0.2671,0.6207,0.3734,0.7489,0.1314,0.1314,0.0728
XGB,gender,Reweighing,0.7250,0.2700,0.6276,0.3776,0.7411,0.0156,0.0587,0.0281
XGB,gender,ExponentiatedGradient,0.7324,0.2752,0.6207,0.3814,,0.0684,0.0684,0.0231
XGB,gender,ThresholdOptimizer,0.7122,0.2565,0.6138,0.3618,,0.1211,0.1211,0.0105
XGB,gender,Suppression,0.7186,0.2645,0.6276,0.3722,0.7461,0.0471,0.0471,0.0093
XGB,income,Baseline,0.7232,0.2671,0.6207,0.3734,0.7489,0.4242,0.4479,0.4762
XGB,income,Reweighing,0.7049,0.2450,0.5862,0.3455,0.7354,0.0808,0.1829,0.1932
XGB,income,ExponentiatedGradient,0.6086,0.1839,0.5655,0.2775,,0.0926,0.0926,0.0493
XGB,income,ThresholdOptimizer,0.6361,0.1753,0.4690,0.2552,,0.2316,0.2316,0.1483
XGB,income,Suppression,0.7287,0.2786,0.6552,0.3909,0.7500,0.2778,0.3519,0.3777
XGB,race,Baseline,0.7232,0.2671,0.6207,0.3734,0.7489,0.6774,0.6774,0.3838
XGB,race,Reweighing,0.7259,0.2695,0.6207,0.3758,0.7473,0.6667,0.6667,0.3958
XGB,race,ExponentiatedGradient,0.7058,0.2333,0.5310,0.3242,,0.6282,0.6282,0.0933
XGB,race,ThresholdOptimizer,0.6306,0.2081,0.6345,0.3135,,0.6333,0.6333,0.0241
XGB,race,Suppression,0.7177,0.2717,0.6690,0.3865,0.7540,0.6833,0.6833,0.2775
