model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,gender,Baseline,Female,0.3196,0.5796,0.2493,3598.0,0.2129
LogisticRegression,gender,Baseline,Male,0.413,0.6417,0.3433,2402.0,0.2336
LogisticRegression,gender,Reweighing,Female,0.3224,0.5822,0.2521,3598.0,0.2129
LogisticRegression,gender,Reweighing,Male,0.4192,0.6506,0.3487,2402.0,0.2336
LogisticRegression,gender,ExponentiatedGradient,Female,0.2596,0.5287,0.1868,3598.0,0.2129
LogisticRegression,gender,ExponentiatedGradient,Male,0.2523,0.5062,0.1749,2402.0,0.2336
LogisticRegression,gender,ThresholdOptimizer,Female,0.1256,0.3655,0.0607,3598.0,0.2129
LogisticRegression,gender,ThresholdOptimizer,Male,0.1137,0.2959,0.0581,2402.0,0.2336
LogisticRegression,gender,Suppression,Female,0.4216,0.6449,0.3612,3598.0,0.2129
LogisticRegression,gender,Suppression,Male,0.5,0.7023,0.4383,2402.0,0.2336
RandomForest,gender,Baseline,Female,0.114,0.3512,0.0498,3598.0,0.2129
RandomForest,gender,Baseline,Male,0.122,0.3316,0.0581,2402.0,0.2336
RandomForest,gender,Reweighing,Female,0.112,0.3446,0.0491,3598.0,0.2129
RandomForest,gender,Reweighing,Male,0.1224,0.3191,0.0625,2402.0,0.2336
RandomForest,gender,ExponentiatedGradient,Female,0.1056,0.329,0.0452,3598.0,0.2129
RandomForest,gender,ExponentiatedGradient,Male,0.1465,0.3743,0.0771,2402.0,0.2336
RandomForest,gender,ThresholdOptimizer,Female,0.1253,0.3825,0.0558,3598.0,0.2129
RandomForest,gender,ThresholdOptimizer,Male,0.0604,0.1711,0.0266,2402.0,0.2336
RandomForest,gender,Suppression,Female,0.1148,0.3564,0.0494,3598.0,0.2129
RandomForest,gender,Suppression,Male,0.1241,0.3226,0.0636,2402.0,0.2336
XGB,gender,Baseline,Female,0.114,0.3629,0.0466,3598.0,0.2129
XGB,gender,Baseline,Male,0.1303,0.3547,0.0619,2402.0,0.2336
XGB,gender,Reweighing,Female,0.1156,0.3681,0.0473,3598.0,0.2129
XGB,gender,Reweighing,Male,0.1295,0.3565,0.0603,2402.0,0.2336
XGB,gender,ExponentiatedGradient,Female,0.1198,0.3786,0.0498,3598.0,0.2129
XGB,gender,ExponentiatedGradient,Male,0.1182,0.3333,0.0527,2402.0,0.2336
XGB,gender,ThresholdOptimizer,Female,0.1484,0.4399,0.0696,3598.0,0.2129
XGB,gender,ThresholdOptimizer,Male,0.1311,0.3547,0.063,2402.0,0.2336
XGB,gender,Suppression,Female,0.1165,0.3668,0.0487,3598.0,0.2129
XGB,gender,Suppression,Male,0.127,0.3422,0.0614,2402.0,0.2336
