model,sensitive_attr,miti_method,accuracy,precision,recall,f1,roc_auc,Equal Opportunity,Equalized Odds,Demographic Parity
LogisticRegression,gender,Baseline,0.6898333333333333,0.3753501400560224,0.6058779201205727,0.4635341597002018,0.6597761096429955,0.06207676519456584,0.09399790398855942,0.09336716345791146
LogisticRegression,gender,Reweighing,0.688,0.37425011536686664,0.6111529766390355,0.4642243846594161,0.6604876802732947,0.06837845510860407,0.09660487575838483,0.09683263761577227
LogisticRegression,gender,ExponentiatedGradient,0.7518333333333334,0.4474025974025974,0.519216277317257,0.480641785838856,0.6685531418685577,0.02248176745181818,0.02248176745181818,0.007298901832315963
LogisticRegression,gender,ThresholdOptimizer,0.8066666666666666,0.6151724137931035,0.3360964581763376,0.4346978557504873,0.6381958858397203,0.06963506978865602,0.06963506978865602,0.011970060154614534
LogisticRegression,gender,Suppression,0.6218333333333333,0.32671081677704195,0.6691785983421251,0.43906056860321385,0.6387836068962925,0.05740867436459507,0.07711990996050416,0.07837687604224569
RandomForest,gender,Baseline,0.8133333333333334,0.647226173541963,0.34287867370007535,0.4482758620689655,0.6449039206291945,0.019624132586811116,0.019624132586811116,0.00802948626746565
RandomForest,gender,Reweighing,0.8103333333333333,0.6355810616929699,0.333835719668425,0.43774703557312256,0.6397404577370586,0.025574435803279283,0.025574435803279283,0.010391331292849804
RandomForest,gender,ExponentiatedGradient,0.8091666666666667,0.6260387811634349,0.34061793519216277,0.44119082479258176,0.641419603162099,0.027524515621582146,0.030141672574165966,0.035378614911883224
RandomForest,gender,ThresholdOptimizer,0.8075,0.6428571428571429,0.29163526752072344,0.401244167962675,0.6228131398592276,0.20877256670529595,0.20877256670529595,0.06803715080864148
RandomForest,gender,Suppression,0.8116666666666666,0.6385372714486639,0.3421250941974378,0.44553483807654565,0.6435641520634098,0.03375872067317315,0.03375872067317315,0.009277288381601592
XGB,gender,Baseline,0.8173333333333334,0.6597510373443983,0.359457422758101,0.4653658536585366,0.6534072904503109,0.008200574319450038,0.01531269851499277,0.016355880938573056
XGB,gender,Reweighing,0.8183333333333334,0.6629986244841816,0.3632253202712886,0.46932814021421615,0.6553982368529565,0.011639975240036682,0.012976934667660964,0.01385564836418049
XGB,gender,ExponentiatedGradient,0.8191666666666667,0.6685236768802229,0.3617181612660136,0.46943765281173594,0.6553936408726815,0.03990915141276069,0.03990915141276069,0.003166251581158741
XGB,gender,ThresholdOptimizer,0.816,0.6313309776207303,0.40391861341371516,0.49264705882352944,0.6684690434926484,0.085224073013967,0.085224073013967,0.01727507047814056
XGB,gender,Suppression,0.8158333333333333,0.6533149171270718,0.35644310474755087,0.4612384202827889,0.651365143214777,0.02459474176568327,0.02459474176568327,0.010523933409207348
