model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
LogisticRegression,gender,Baseline,35-55,0.5509,0.7387,0.3275,1866.0,0.5434
LogisticRegression,gender,Baseline,0-35,0.4285,0.6336,0.266,4614.0,0.4419
LogisticRegression,gender,Baseline,55<=,0.7436,0.75,0.7333,39.0,0.6154
LogisticRegression,gender,Reweighing,35-55,0.5825,0.7554,0.3768,1866.0,0.5434
LogisticRegression,gender,Reweighing,0-35,0.4352,0.6248,0.285,4614.0,0.4419
LogisticRegression,gender,Reweighing,55<=,0.6667,0.7083,0.6,39.0,0.6154
LogisticRegression,gender,ExponentiatedGradient,35-55,0.4748,0.6657,0.2477,1866.0,0.5434
LogisticRegression,gender,ExponentiatedGradient,0-35,0.4697,0.6802,0.3029,4614.0,0.4419
LogisticRegression,gender,ExponentiatedGradient,55<=,0.5897,0.5417,0.6667,39.0,0.6154
LogisticRegression,gender,ThresholdOptimizer,35-55,0.4732,0.6637,0.2465,1866.0,0.5434
LogisticRegression,gender,ThresholdOptimizer,0-35,0.4718,0.6822,0.3052,4614.0,0.4419
LogisticRegression,gender,ThresholdOptimizer,55<=,0.4615,0.5417,0.3333,39.0,0.6154
LogisticRegression,gender,Suppression,35-55,0.5509,0.7387,0.3275,1866.0,0.5434
LogisticRegression,gender,Suppression,0-35,0.4285,0.6336,0.266,4614.0,0.4419
LogisticRegression,gender,Suppression,55<=,0.7436,0.75,0.7333,39.0,0.6154
RandomForest,gender,Baseline,35-55,0.5691,0.7584,0.3439,1866.0,0.5434
RandomForest,gender,Baseline,0-35,0.4348,0.6479,0.266,4614.0,0.4419
RandomForest,gender,Baseline,55<=,0.7692,0.7917,0.7333,39.0,0.6154
RandomForest,gender,Reweighing,35-55,0.575,0.7673,0.3462,1866.0,0.5434
RandomForest,gender,Reweighing,0-35,0.4309,0.6435,0.2625,4614.0,0.4419
RandomForest,gender,Reweighing,55<=,0.7692,0.8333,0.6667,39.0,0.6154
RandomForest,gender,ExponentiatedGradient,35-55,0.5075,0.6834,0.2981,1866.0,0.5434
RandomForest,gender,ExponentiatedGradient,0-35,0.4397,0.6508,0.2726,4614.0,0.4419
RandomForest,gender,ExponentiatedGradient,55<=,0.5897,0.6667,0.4667,39.0,0.6154
RandomForest,gender,ThresholdOptimizer,35-55,0.4904,0.646,0.3052,1866.0,0.5434
RandomForest,gender,ThresholdOptimizer,0-35,0.5555,0.7822,0.3759,4614.0,0.4419
RandomForest,gender,ThresholdOptimizer,55<=,0.2821,0.25,0.3333,39.0,0.6154
RandomForest,gender,Suppression,35-55,0.5691,0.7584,0.3439,1866.0,0.5434
RandomForest,gender,Suppression,0-35,0.4348,0.6479,0.266,4614.0,0.4419
RandomForest,gender,Suppression,55<=,0.7692,0.7917,0.7333,39.0,0.6154
XGB,gender,Baseline,35-55,0.6013,0.8136,0.3486,1866.0,0.5434
XGB,gender,Baseline,0-35,0.4762,0.7052,0.2948,4614.0,0.4419
XGB,gender,Baseline,55<=,0.7436,0.7917,0.6667,39.0,0.6154
XGB,gender,Reweighing,35-55,0.5949,0.8008,0.3498,1866.0,0.5434
XGB,gender,Reweighing,0-35,0.4673,0.6959,0.2862,4614.0,0.4419
XGB,gender,Reweighing,55<=,0.7179,0.7083,0.7333,39.0,0.6154
XGB,gender,ExponentiatedGradient,35-55,0.5305,0.7377,0.284,1866.0,0.5434
XGB,gender,ExponentiatedGradient,0-35,0.5085,0.7381,0.3266,4614.0,0.4419
XGB,gender,ExponentiatedGradient,55<=,0.6154,0.6667,0.5333,39.0,0.6154
XGB,gender,ThresholdOptimizer,35-55,0.5086,0.7179,0.2594,1866.0,0.5434
XGB,gender,ThresholdOptimizer,0-35,0.5024,0.7303,0.3219,4614.0,0.4419
XGB,gender,ThresholdOptimizer,55<=,0.5385,0.5833,0.4667,39.0,0.6154
XGB,gender,Suppression,35-55,0.6013,0.8136,0.3486,1866.0,0.5434
XGB,gender,Suppression,0-35,0.4762,0.7052,0.2948,4614.0,0.4419
XGB,gender,Suppression,55<=,0.7436,0.7917,0.6667,39.0,0.6154
